step,smiles,sum,SAScore,DockScore,raw_SAScore,raw_DockScore,smiles_length,Validity,QED,logP,MolWt,TPSA,source,raw_smiles,Unnamed: 0.1,scaffold
,O=C(NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O)C(S)CC1C=CC2=CC=CC=C2C=1,,,,,,,True,,,,,Known_active,C=1(C=CC(C=2C=CC=CC2)=CC1)C[C@@H](C(=O)O)NC([C@@H](S)CC3=CC=4C(C=C3)=CC=CC4)=O,,O=C(CCc1ccc2ccccc2c1)NCCc1ccc(-c2ccccc2)cc1
,CC(C)(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C=1(C=CC(C=2C=CC=CC2)=CC1)C[C@H](NC(C(S)(C)C)=O)C(=O)O,,c1ccc(-c2ccccc2)cc1
,O=C(O)C(CC1C=CC(=CC=1)C1C=CC=CC=1)NC(=O)C(S)C1CCC1,,,,,,,True,,,,,Known_active,C=1(C=CC(=CC1)C2=CC=CC=C2)C[C@H](NC([C@@H](S)C3CCC3)=O)C(=O)O,,O=C(CC1CCC1)NCCc1ccc(-c2ccccc2)cc1
,O=C(O)C(CC1C=CC(=CC=1)C1C=CC=CC=1)NC(=O)C(S)C1C=CC=CC=1,,,,,,,True,,,,,Known_active,C1(=CC=C(C=C1)C2=CC=CC=C2)C[C@H](NC([C@@H](S)C3=CC=CC=C3)=O)C(=O)O,,O=C(Cc1ccccc1)NCCc1ccc(-c2ccccc2)cc1
,O=C(O)C(CC1C=CC(=CC=1)C1C=CC=CC=1)NC(=O)C(S)C1CCCCC1,,,,,,,True,,,,,Known_active,C1(=CC=C(C=C1)C2=CC=CC=C2)C[C@H](NC([C@@H](S)C3CCCCC3)=O)C(=O)O,,O=C(CC1CCCCC1)NCCc1ccc(-c2ccccc2)cc1
,O=C(NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O)C(S)CC1CCCCC1,,,,,,,True,,,,,Known_active,C=1(C=CC(=CC1)C2=CC=CC=C2)C[C@H](NC([C@@H](S)CC3CCCCC3)=O)C(=O)O,,O=C(CCC1CCCCC1)NCCc1ccc(-c2ccccc2)cc1
,O=C(NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O)C(S)CCC1C=CC=CC=1,,,,,,,True,,,,,Known_active,C=1(C=CC(=CC1)C2=CC=CC=C2)C[C@H](NC([C@@H](S)CCC3=CC=CC=C3)=O)C(=O)O,,O=C(CCCc1ccccc1)NCCc1ccc(-c2ccccc2)cc1
,CC(C)(C)CC(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1(C[C@H](NC([C@@H](S)CC(C)(C)C)=O)C(=O)O)=CC=C(C=C1)C2=CC=CC=C2,,c1ccc(-c2ccccc2)cc1
,CCC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1(C[C@H](NC([C@@H](S)[C@@H](C)CC)=O)C(=O)O)=CC=C(C=C1)C2=CC=CC=C2,,c1ccc(-c2ccccc2)cc1
,CC(=O)NC(C)C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN([C@H](C1)P(C[C@H](C(O)=O)CC2=CC=CC=C2)(O)=O)C(=O)[C@@H](NC(=O)C)C,,O=[PH](CCCc1ccccc1)C1CCCN1
,O=C(O)C(CC1C=CC=CC=1)CP(=O)(O)C1CCCN1C(=O)OCC1C=CC=CC=1,,,,,,,True,,,,,Known_active,C1CN([C@H](C1)P(C[C@H](C(O)=O)CC2=CC=CC=C2)(O)=O)C(=O)OCC=3C=CC=CC3,,O=C(OCc1ccccc1)N1CCCC1[PH](=O)CCCc1ccccc1
,CC(C)CC(CP(=O)(O)C1CCCN1C(=O)OCC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN([C@H](C1)P(C[C@H](C(O)=O)CC(C)C)(O)=O)C(OCC=2C=CC=CC2)=O,,O=C(OCc1ccccc1)N1CCCC1
,CC(=O)NC(CC1=CNC=N1)C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN([C@H](C1)P(O)(=O)C[C@H](C(O)=O)CC=2C=CC=CC2)C(=O)[C@@H](NC(=O)C)CC=3N=CNC3,,O=C(CCc1c[nH]cn1)N1CCCC1[PH](=O)CCCc1ccccc1
,CC(=O)NC(C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O)C(C)C,,,,,,,True,,,,,Known_active,C1CN([C@H](C1)P(O)(=O)C[C@H](C(O)=O)CC2=CC=CC=C2)C(=O)[C@@H](NC(=O)C)C(C)C,,O=[PH](CCCc1ccccc1)C1CCCN1
,CC(=O)NC(CC(C)C)C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN([C@H](C1)P(O)(=O)C[C@H](C(O)=O)CC2=CC=CC=C2)C(=O)[C@@H](NC(=O)C)CC(C)C,,O=[PH](CCCc1ccccc1)C1CCCN1
,CC(=O)NC(CC1C=CC=CC=1)C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN([C@@H](P(=O)(C[C@H](C(O)=O)CC=2C=CC=CC2)O)C1)C(=O)[C@@H](NC(=O)C)CC3=CC=CC=C3,,O=C(CCc1ccccc1)N1CCCC1[PH](=O)CCCc1ccccc1
,CC(=O)NC(CCCCN)C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN([C@@H](P(O)(=O)C[C@H](C(O)=O)CC2=CC=CC=C2)C1)C(=O)[C@@H](NC(=O)C)CCCCN,,O=[PH](CCCc1ccccc1)C1CCCN1
,CC(=O)NC(CCC(=O)O)C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN([C@@H](P(O)(=O)C[C@H](C(O)=O)CC2=CC=CC=C2)C1)C(=O)[C@@H](NC(=O)C)CCC(=O)O,,O=[PH](CCCc1ccccc1)C1CCCN1
,CC(CP(=O)(O)C1CCCN1C(=O)OCC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN(C(OCC=2C=CC=CC2)=O)[C@H](C1)P(C[C@H](C(O)=O)C)(O)=O,,O=C(OCc1ccccc1)N1CCCC1
,CC(=O)NC(CC1=CNC=N1)C(=O)N1CCCC1P(=O)(O)CC(CC1=CC(=NO1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN(C(=O)[C@H](CC=2N=CNC2)NC(=O)C)[C@@H](P(CC(C(=O)O)CC3=CC(=NO3)C=4C=CC=CC4)(O)=O)C1,,O=C(CCc1c[nH]cn1)N1CCCC1[PH](=O)CCCc1cc(-c2ccccc2)no1
,CC(=O)NC(CC(C)C)C(=O)N1CCCC1P(=O)(O)CC(CC1=CC(=NO1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN(C(=O)[C@H](CC(C)C)NC(=O)C)[C@@H](P(=O)(CC(C(O)=O)CC2=CC(=NO2)C=3C=CC=CC3)O)C1,,O=[PH](CCCc1cc(-c2ccccc2)no1)C1CCCN1
,CC(=O)NC(CC1C=CC(O)=CC=1)C(=O)N1CCCC1P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,C1CN(C(=O)[C@@H](NC(=O)C)CC=2C=CC(=CC2)O)[C@@H](P(=O)(C[C@H](C(O)=O)CC=3C=CC=CC3)O)C1,,O=C(CCc1ccccc1)N1CCCC1[PH](=O)CCCc1ccccc1
,CC(=O)NC(CC1=CNC=N1)C(=O)NC(CC(C)C)P(=O)(O)CC(CC1=CC(=NO1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,CC(N[C@@H](CC=1N=CNC1)C(N[C@H](CC(C)C)P(CC(C(O)=O)CC2=CC(=NO2)C3=CC=CC=C3)(=O)O)=O)=O,,O=C(CCc1c[nH]cn1)NC[PH](=O)CCCc1cc(-c2ccccc2)no1
,CC(=O)NC(CC(C)C)C(=O)NC(CC1C=CC=CC=1)P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,CC(N[C@H](C(N[C@@H](P(C[C@H](C(=O)O)CC=1C=CC=CC1)(=O)O)CC2=CC=CC=C2)=O)CC(C)C)=O,,O=[PH](CCCc1ccccc1)CCc1ccccc1
,CC(=O)NC(CC1=CNC=N1)C(=O)NC(CC(C)C)P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,CC(N[C@H](C(N[C@@H](P(C[C@H](C(=O)O)CC=1C=CC=CC1)(=O)O)CC(C)C)=O)CC=2N=CNC2)=O,,O=C(CCc1c[nH]cn1)NC[PH](=O)CCCc1ccccc1
,O=C(NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O)C(S)CC1C=CC=CC=1,,,,,,,True,,,,,Known_active,C(N[C@H](C(O)=O)CC=1C=CC(=CC1)C=2C=CC=CC2)([C@H](CC3=CC=CC=C3)S)=O,,O=C(CCc1ccccc1)NCCc1ccc(-c2ccccc2)cc1
,CC(C)CC(NC(=O)OCC1C=CC=CC=1)P(=O)(O)CC(CC1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,N([C@@H](P(=O)(O)C[C@H](C(=O)O)CC1=CC=CC=C1)CC(C)C)C(OCC=2C=CC=CC2)=O,,O=C(NC[PH](=O)CCCc1ccccc1)OCc1ccccc1
,CC(C)CC(NC(CC1=CN=CN1CC1C=C(Cl)C=C(Cl)C=1)C(=O)O)C(=O)O,,,,,,,True,,,,,Known_active,OC(=O)[C@H](CC(C)C)N[C@H](C(=O)O)CC1=CN=CN1CC2=CC(Cl)=CC(=C2)Cl,,c1ccc(Cn2ccnc2)cc1
,O=C(CS)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,SCC(=O)N[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O,,c1ccc(-c2ccccc2)cc1
,O=C(O)C(CC1C=CC(=CC=1)C1C=CC=CC=1)NC(=O)C(S)C1CCCC1,,,,,,,True,,,,,Known_active,S[C@@H](C1CCCC1)C(=O)N[C@@H](CC2=CC=C(C=C2)C3=CC=CC=C3)C(=O)O,,O=C(CC1CCCC1)NCCc1ccc(-c2ccccc2)cc1
,O=C(NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O)C(S)CC1C=CC=CC=1,,,,,,,True,,,,,Known_active,S[C@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)C3=CC=CC=C3)C(=O)O,,O=C(CCc1ccccc1)NCCc1ccc(-c2ccccc2)cc1
,CC(C)CC(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O,,c1ccc(-c2ccccc2)cc1
,CCCCC(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H](CCCC)C(=O)N[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O,,c1ccc(-c2ccccc2)cc1
,CC(C)C(S)C(=O)NC(CC1C=CC(=CC=1)C1C=CC=CC=1)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H](C(C)C)C(=O)N[C@@H](CC1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O,,c1ccc(-c2ccccc2)cc1
,CCC(C)C(S)C(=O)NCC(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(NCC(=O)O)=O,,
,CCC(C)C(S)C(=O)NC(CC1C=CC=C2C=CC=CC=12)C(=O)O,,,,,,,True,,,,,Known_active,S[C@@H]([C@@H](CC)C)C(N[C@@H](CC1=C2C(=CC=C1)C=CC=C2)C(O)=O)=O,,c1ccc2ccccc2c1
